SDRIDU,SDRNOM,SDRGENRE,DRIDU,DRNOM,DRGENRE,SRUIDU,SRUNOM,RÉIDU,RÉNOM,RMRPIDU,RMRIDU,RMRNOM,RMRGENRE,CSSCODE,CSSGENRE,PRIDU,PRNOM
2475005,Saint-Colomban,V,2475,La Rivière-du-Nord,MRC,2475005,Saint-Colomban,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466142,Dollard-Des Ormeaux,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471050,Les Cèdres,MÉ,2471,Vaudreuil-Soulanges,MRC,2471050,Les Cèdres,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466047,Montréal-Ouest,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471070,Pincourt,V,2471,Vaudreuil-Soulanges,MRC,2471065,Notre-Dame-de-l'Île-Perrot,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2476025,Gore,CT,2476,Argenteuil,MRC,2476025,Gore,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466117,Sainte-Anne-de-Bellevue,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472015,Sainte-Marthe-sur-le-Lac,V,2472,Deux-Montagnes,MRC,2472005,Saint-Eustache,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471083,Vaudreuil-Dorion,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2467055,Léry,V,2467,Roussillon,MRC,2467050,Châteauguay,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472802,Kanesatake,S-É,2472,Deux-Montagnes,MRC,2472032,Oka,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471100,Hudson,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471095,L'Île-Cadieux,V,2471,Vaudreuil-Soulanges,MRC,2471083,Vaudreuil-Dorion,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
2473010,Sainte-Thérèse,V,2473,Thérèse-De Blainville,MRC,2473015,Blainville,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2472043,Saint-Placide,MÉ,2472,Deux-Montagnes,MRC,2472043,Saint-Placide,2455,Laurentides,24462,462,Montréal,B,462,1,24,Quebec / Québec
2466112,Baie-D'Urfé,V,2466,Montréal,TÉ,2466023,Montréal,2440,Montréal,24462,462,Montréal,B,462,1,24,Quebec / Québec
2471065,Notre-Dame-de-l'Île-Perrot,V,2471,Vaudreuil-Soulanges,MRC,2471065,Notre-Dame-de-l'Île-Perrot,2435,Montérégie,24462,462,Montréal,B,462,1,24,Quebec / Québec
